t_sec,x1_load,x2_load,x3_load,x4_load,x5_load,x6_diff,y_lower_t-1,y_upper_t-1,y_lower_t-2,y_upper_t-2,y_lower_t-3,y_upper_t-3,dt_current,dt_prev,dt_prev2,y_lower,y_upper,C组推进压力,E组推进压力
43320.0,1.812789,2.126736,2.427662,2.043909,1.552373,149.47922,1910.121,1876.063,1841.469,1807.703,1772.523,1738.856,60.0,60.0,60.0,1977.699,1943.934,208.5938,59.11458
43380.0,1.726345,2.055121,2.279731,1.948061,1.572266,145.90564,1977.699,1943.934,1910.121,1876.063,1841.469,1807.703,60.0,60.0,60.0,2047.719,2013.953,204.5862,58.68056
49500.0,1.680049,2.021484,2.177734,1.854022,1.375145,151.63481,678.7734,645.3008,617.0547,583.7773,571.5469,539.6367,60.0,60.0,60.0,744.6914,711.2188,218.6487,67.01389
49560.0,1.664497,2.010272,2.223669,1.739005,1.273148,133.70952,744.6914,711.2188,678.7734,645.3008,617.0547,583.7773,60.0,60.0,60.0,811.9766,778.9921,205.2807,71.57118
49620.0,1.671007,2.013165,2.179904,1.774812,1.349103,134.9103,811.9766,778.9921,744.6914,711.2188,678.7734,645.3008,60.0,60.0,60.0,882.6796,849.6953,206.9155,72.0052
49740.0,1.707176,2.07393,2.211371,1.800854,1.475333,137.03706,882.6796,849.6953,811.9766,778.9921,744.6914,711.2188,120.0,60.0,60.0,991.2734,959.0704,207.5087,70.47164
49800.0,1.779876,2.162182,2.285518,1.734303,1.422526,138.19447000000002,991.2734,959.0704,882.6796,849.6953,811.9766,778.9921,60.0,120.0,60.0,1057.777,1025.574,208.4925,70.29803
49860.0,1.76794,2.154948,2.28371,1.835214,1.510417,131.98785,1057.777,1025.574,991.2734,959.0704,882.6796,849.6953,60.0,60.0,120.0,1125.648,1093.934,201.3889,69.40105
49920.0,1.730324,2.069227,2.187138,1.929615,1.481843,136.77664,1125.648,1093.934,1057.777,1025.574,991.2734,959.0704,60.0,60.0,60.0,1195.668,1164.539,205.8594,69.08276
49980.0,1.647497,2.103588,2.240307,1.905744,1.493056,131.77087,1195.668,1164.539,1125.648,1093.934,1057.777,1025.574,60.0,60.0,60.0,1266.273,1235.438,196.8461,65.07523
50100.0,1.797237,2.158565,2.344112,2.032697,1.572266,160.73493000000002,1266.273,1235.438,1195.668,1164.539,1125.648,1093.934,120.0,60.0,60.0,1368.715,1337.195,215.4369,54.70197
50160.0,1.778067,2.095631,2.261646,1.890191,1.570457,157.62438,1368.715,1337.195,1266.273,1235.438,1195.668,1164.539,60.0,120.0,60.0,1436.293,1404.578,213.0208,55.39642
50220.0,1.848597,2.200883,2.379557,1.97989,1.526693,144.96524999999997,1436.293,1404.578,1368.715,1337.195,1266.273,1235.438,60.0,60.0,120.0,1506.313,1475.477,208.8686,63.90335
50280.0,1.749132,2.113354,2.261285,2.019314,1.571904,139.84372000000002,1506.313,1475.477,1436.293,1404.578,1368.715,1337.195,60.0,60.0,60.0,1576.43,1546.473,203.6458,63.80208
50340.0,1.744792,2.142651,2.31373,1.936126,1.531756,157.16149000000001,1576.43,1546.473,1506.313,1475.477,1436.293,1404.578,60.0,60.0,60.0,1647.328,1616.785,211.4439,54.28241
50400.0,1.803024,2.203053,2.32024,2.088759,1.611328,146.39758999999998,1647.328,1616.785,1576.43,1546.473,1506.313,1475.477,60.0,60.0,60.0,1688.344,1657.996,194.5168,48.11921
50460.0,1.744068,2.11046,2.263817,1.912254,1.483652,155.33858999999998,1688.344,1657.996,1647.328,1616.785,1576.43,1546.473,60.0,60.0,60.0,1753.578,1723.23,208.5938,53.25521
50520.0,1.792896,2.120226,2.233073,1.990379,1.548394,158.42016,1753.578,1723.23,1688.344,1657.996,1647.328,1616.785,60.0,60.0,60.0,1823.695,1793.25,212.1094,53.68924
50580.0,1.732133,2.175564,2.258753,1.838831,1.377315,137.05147,1823.695,1793.25,1753.578,1723.23,1688.344,1657.996,60.0,60.0,60.0,1893.813,1864.246,193.6921,56.64063
50640.0,1.717665,2.041739,2.151693,1.880787,1.480035,145.03762,1893.813,1864.246,1823.695,1793.25,1753.578,1723.23,60.0,60.0,60.0,1964.223,1934.266,204.5573,59.51968
50700.0,1.716942,2.232349,2.32458,1.815321,1.405165,135.93748,1964.223,1934.266,1893.813,1864.246,1823.695,1793.25,60.0,60.0,60.0,2034.535,2004.969,195.6597,59.72222
65400.0,1.483652,1.916233,2.023293,1.688006,1.227937,119.27081,738.2461,708.0938,667.6406,636.8047,608.3633,577.5273,60.0,60.0,60.0,809.3399,779.7735,183.7818,64.51099
65460.0,1.541522,1.923466,1.993634,1.733941,1.286892,116.79687,809.3399,779.7735,738.2461,708.0938,667.6406,636.8047,60.0,60.0,60.0,882.1914,852.918,181.4236,64.62673
65580.0,1.494141,1.859086,1.932147,1.7466,1.295211,95.87672,882.1914,852.918,809.3399,779.7735,738.2461,708.0938,120.0,60.0,60.0,998.3047,972.254,161.6464,65.76968
65640.0,1.448206,1.788194,1.877893,1.603009,1.174768,97.22226,998.3047,972.254,882.1914,852.918,809.3399,779.7735,60.0,120.0,60.0,1071.449,1045.789,155.0637,57.84144
65700.0,1.409143,1.742622,1.843533,1.710431,1.199725,85.77839999999999,1071.449,1045.789,998.3047,972.254,882.1914,852.918,60.0,60.0,120.0,1144.398,1119.422,144.213,58.4346
65760.0,1.529225,1.826895,1.901765,1.697049,1.210576,92.52028999999999,1144.398,1119.422,1071.449,1045.789,998.3047,972.254,60.0,60.0,60.0,1218.031,1192.469,150.8681,58.34781
65820.0,1.535012,1.846065,1.97989,1.838469,1.325593,96.74483000000001,1218.031,1192.469,1144.398,1119.422,1071.449,1045.789,60.0,60.0,60.0,1291.176,1265.809,155.1071,58.36227
